,country,year_count,country,chinese
0,Afghanistan,19690,Afghanistan,___
1,Albania,4330,Albania,_____
2,Algeria,897,Algeria,_____
3,Angola,5676,Angola,___
4,Anguilla,5,Anguilla,___
5,Antigua and Barbuda,149,Antigua and Barbuda,_______
6,Argentina,1207,Argentina,___
7,Armenia,7125,Armenia,____
8,Aruba,22,Aruba,___
9,Asia Region,5053,Asia Region,____
10,"Asia, Middle East and North Africa Region",2499,"Asia, Middle East and North Africa Region",__________
11,Australia,106,Australia,____
12,Austria,237,Austria,___
13,Azerbaijan,5003,Azerbaijan,____
14,Bahamas,346,Bahamas,___
15,Bahrain,468,Bahrain,__
16,Bangladesh,9447,Bangladesh,____
17,Barbados,409,Barbados,____
18,Belarus,2028,Belarus,____
19,Belgium,176,Belgium,___
20,Belize,852,Belize,___
21,Benin,6954,Benin,__
22,"Berlin, West",26,"Berlin, West",____
23,Bermuda,8,Bermuda,___
24,Bhutan,147,Bhutan,__
25,Bolivia,9302,Bolivia,____
26,Bosnia and Herzegovina,6432,Bosnia and Herzegovina,__________
27,Botswana,2142,Botswana,____
28,Brazil,4371,Brazil,__
29,British Indian Ocean Territory,4,British Indian Ocean Territory,_______
30,British Virgin Islands,3,British Virgin Islands,_______
31,Brunei,26,Brunei,__
32,Bulgaria,2421,Bulgaria,____
33,Burkina Faso,4623,Burkina Faso,_____
34,Burma (Myanmar),3420,Burma (Myanmar),______
35,Burundi,4902,Burundi,___
36,Cabo Verde,1467,Cabo Verde,___
37,Cambodia,8331,Cambodia,___
38,Cameroon,2809,Cameroon,___
39,Canada,668,Canada,___
40,Caribbean Region,3556,Caribbean Region,_____
41,Cayman Islands,12,Cayman Islands,____
42,Central African Republic,1588,Central African Republic,_____
43,Central America Region,2832,Central America Region,_____
44,Central America and Caribbean Region,447,Central America and Caribbean Region,_________
45,Central and Eastern Europe Region,1249,Central and Eastern Europe Region,_______
46,Chad,3250,Chad,__
47,Chile,1120,Chile,__
48,China (P.R. Hong Kong),143,China (P.R. Hong Kong),______
49,China (P.R.C.),4982,China (P.R.C.),______
50,China (Tibet),189,China (Tibet),______
51,"China, Republic of (Taiwan)",484,"China, Republic of (Taiwan)",___________
52,Colombia,7950,Colombia,____
53,Comoros,340,Comoros,___
54,Congo (Brazzaville),1209,Congo (Brazzaville),_________
55,Congo (Kinshasa),12357,Congo (Kinshasa),_______
56,Cook Islands,3,Cook Islands,____
57,Costa Rica,1967,Costa Rica,_____
58,Cote d'Ivoire,2781,Cote d'Ivoire,____
59,Croatia,2008,Croatia,____
60,Cuba,1503,Cuba,__
61,Curacao,12,Curacao,___
62,Cyprus,606,Cyprus,____
63,Czechia,342,Czechia,___
64,Czechoslovakia (former),31,Czechoslovakia (former),_________
65,Denmark,78,Denmark,__
66,Djibouti,2070,Djibouti,___
67,Dominica,151,Dominica,____
68,Dominican Republic,7427,Dominican Republic,_______
69,East Asia and Oceania Region,564,East Asia and Oceania Region,________
70,East and South Africa Region,6,East and South Africa Region,_______
71,Eastern Africa Region,4353,Eastern Africa Region,____
72,Eastern Asia Region,2735,Eastern Asia Region,____
73,Eastern Europe Region,7040,Eastern Europe Region,____
74,Eastern and Central Africa Region,5,Eastern and Central Africa Region,_______
75,Ecuador,4787,Ecuador,____
76,Egypt,10051,Egypt,__
77,El Salvador,8004,El Salvador,____
78,Equatorial Guinea,212,Equatorial Guinea,_____
79,Eritrea,1822,Eritrea,_____
80,Estonia,462,Estonia,____
81,Eswatini,1836,Eswatini,Eswatini
82,Ethiopia,24226,Ethiopia,_____
83,Eurasia Region,6589,Eurasia Region,______
84,Europe Region,1550,Europe Region,____
85,Europe and Eurasia Region,1439,Europe and Eurasia Region,_________
86,Fiji,441,Fiji,_
87,Finland,62,Finland,__
88,France,184,France,__
89,French Guiana,4,French Guiana,_____
90,French Polynesia,1,French Polynesia,_______
91,Gabon,828,Gabon,__
92,Gambia,1187,Gambia,___
93,Georgia,9582,Georgia,____
94,Germany,124,Germany,__
95,Germany (former East),1,Germany (former East),______
96,Ghana,11963,Ghana,__
97,Greece,615,Greece,__
98,Grenada,185,Grenada,____
99,Guatemala,12921,Guatemala,____
100,Guinea,6293,Guinea,___
101,Guinea-Bissau,653,Guinea-Bissau,_____
102,Guyana,2873,Guyana,___
103,Haiti,16662,Haiti,__
104,Honduras,9504,Honduras,____
105,Hungary,1096,Hungary,___
106,Iceland,79,Iceland,__
107,India,11987,India,__
108,Indonesia,14591,Indonesia,_____
109,Iran,386,Iran,__
110,Iraq,21201,Iraq,___
111,Ireland,80,Ireland,___
112,Israel,2248,Israel,___
113,Italy,195,Italy,___
114,Jamaica,5748,Jamaica,___
115,Japan,432,Japan,__
116,Jordan,9397,Jordan,__
117,Kazakhstan,6799,Kazakhstan,_____
118,Kenya,18751,Kenya,___
119,Kiribati,40,Kiribati,____
120,Korea Republic,543,Korea Republic,_____
121,"Korea, Democratic Republic",591,"Korea, Democratic Republic",________
122,Kosovo,2966,Kosovo,___
123,Kuwait,214,Kuwait,___
124,Kyrgyzstan,6840,Kyrgyzstan,______
125,Laos,1431,Laos,__
126,Latin America Region,340,Latin America Region,______
127,Latin America and Caribbean Region,7359,Latin America and Caribbean Region,__________
128,Latvia,415,Latvia,____
129,Lebanon,4406,Lebanon,___
130,Lesotho,2501,Lesotho,___
131,Liberia,11508,Liberia,____
132,Libya,1065,Libya,___
133,Lithuania,410,Lithuania,___
134,Luxembourg,4,Luxembourg,___
135,Macau,14,Macau,__
136,Macedonia,4588,Macedonia,___
137,Madagascar,7343,Madagascar,_____
138,Malawi,10846,Malawi,___
139,Malaysia,1242,Malaysia,____
140,Maldives,225,Maldives,____
141,Mali,11896,Mali,__
142,Malta,202,Malta,___
143,Marshall Islands,889,Marshall Islands,_____
144,Martinique,19,Martinique,____
145,Mauritania,2573,Mauritania,_____
146,Mauritius,417,Mauritius,____
147,Mexico,8504,Mexico,___
148,Micronesia (Federated States),1231,Micronesia (Federated States),__________
149,Middle East Region,556,Middle East Region,____
150,Middle East and North Africa Region,2325,Middle East and North Africa Region,_______
151,Moldova,4691,Moldova,____
152,Mongolia,2939,Mongolia,__
153,Montenegro,1826,Montenegro,__
154,Montserrat,4,Montserrat,_____
155,Morocco,9303,Morocco,___
156,Mozambique,13188,Mozambique,____
157,Namibia,4108,Namibia,____
158,Nauru,8,Nauru,__
159,Nepal,9787,Nepal,___
160,Netherlands,160,Netherlands,__
161,Netherlands Antilles (former),23,Netherlands Antilles (former),___________
162,New Caledonia,8,New Caledonia,______
163,New Zealand,77,New Zealand,___
164,Nicaragua,9097,Nicaragua,____
165,Niger,4218,Niger,___
166,Nigeria,13405,Nigeria,____
167,North Africa Region,107,North Africa Region,____
168,North America Region,40,North America Region,____
169,North and Central America Region,64,North and Central America Region,________
170,Norway,83,Norway,__
171,Oceania Region,412,Oceania Region,_____
172,Oman,561,Oman,__
173,Pacific Island Trust Territory,14,Pacific Island Trust Territory,_________
174,Pakistan,13025,Pakistan,____
175,Palau,249,Palau,__
176,Panama,3095,Panama,___
177,Papua New Guinea,609,Papua New Guinea,_______
178,Paraguay,3674,Paraguay,___
179,Peru,10391,Peru,__
180,Philippines,10690,Philippines,___
181,Poland,807,Poland,__
182,Portugal,374,Portugal,___
183,Qatar,71,Qatar,___
184,Romania,2759,Romania,____
185,Russia,9079,Russia,__
186,Rwanda,9961,Rwanda,___
187,Samoa,277,Samoa,___
188,Sao Tome and Principe,375,Sao Tome and Principe,________
189,Saudi Arabia,213,Saudi Arabia,_____
190,Senegal,10518,Senegal,____
191,Serbia,5155,Serbia,____
192,Serbia and Montenegro (former),799,Serbia and Montenegro (former),__________
193,Seychelles,362,Seychelles,___
194,Sierra Leone,4483,Sierra Leone,____
195,Singapore,249,Singapore,___
196,Slovak Republic,552,Slovak Republic,_______
197,Slovenia,222,Slovenia,_____
198,Solomon Islands,156,Solomon Islands,_____
199,Somalia,4934,Somalia,___
200,South Africa,10628,South Africa,__
201,South America Region,703,South America Region,_____
202,South East Asia Region,431,South East Asia Region,_____
